Fetched from http://queue.taskcluster.net/v1/task/R-rDZ83VRBemyweEjKLjMw/artifacts/public/test_info/xulsummary.txt

Elements in namespace http://www.mozilla.org/keymaster/gatekeeper/there.is.only.xul
  1112  label
  "text-base": 68,
  "popup": 62,
  "button": 50,
  "label-control": 32,
  "menuitem-iconic": 30,
  "dropmarker": 25,
  "menu": 6,
  "arrowpanel": 18,
  "checkbox": 17,
  "text-link": 16,
  "popup-notification": 10,
  "input-box": 9,
  "tooltip": 8,
  "inputFields": 8,
  "places-popup-base": 8,
  "menu-menubar": 7,
  "textbox": 6,
  "deck": 5,
  "popup-scrollbars": 5,
  "menulist": 4,
  "menu-iconic": 4,
  "stringbundle": 3,
  "autocomplete-richlistbox": 3,
  "panel": 3,
  "radio": 3,
  "toolbar": 3,
  "tabbrowser-alltabs-popup": 3,
  "notificationbox": 3,
  "search-one-offs": 2,
  "scrollbar": 2,
  "ctrlTab-preview": 2,
  "progressmeter": 2,
  "toolbarbutton-badged": 2,
  "tabbrowser-remote-browser": 2,
  "autocomplete-rich-result-popup": 1,
  "browser-search-autocomplete-result-popup": 1,
  "urlbar-rich-result-popup": 1,
  "menulist-popuponly": 1,
  "places-tree": 1,
  "treecols": 1,
  "treecol": 1,
  "columnpicker": 1,
  "treerows": 1,
  "treebody": 1,
  "autocomplete": 1,
  "listbox": 1,
  "listrows": 1,
  "textarea": 1,
  "textAreas": 1,
  "addon-progress-notification": 1,
  "radiogroup": 1,
  "richlistbox": 1,
  "toolbar-menubar-autohide": 1,
  "menubar": 1,
  "tabbrowser-tabs": 1,
  "tabbrowser-arrowscrollbox": 1,
  "tabbrowser-tab": 1,
  "urlbar": 1,
  "browser": 1,
  "splitter": 1,
  "tabbox": 1,
  "tabbrowser-tabpanels": 1,
  "notification": 1
}
