Fetched from https://queue.taskcluster.net/v1/task/VyfyEyD4QB622pG3fP2oFg/artifacts/public/test_info/xulsummary.txt

Elements in namespace http://www.mozilla.org/keymaster/gatekeeper/there.is.only.xul
  1150  label
  683   image
  619   hbox
  297   menuitem
  176   spacer
  154   autorepeatbutton
  144   box
  134   vbox
  127   dropmarker
  106   toolbarbutton
  96    command
  88    scrollbox
  82    menupopup
  78    arrowscrollbox
  75    key
  74    menuseparator
  73    description
  71    button
  31    menu
  27    broadcaster
  27    toolbarseparator
  24    panel
  22    panelview
  19    checkbox
  16    popupnotificationcontent
  13    observes
  13    stack
  13    popupnotification
  13    toolbaritem
  9     textbox
  8     tooltip
  7     commandset
  5     deck
  5     menulist
  5     panelmultiview
  4     richlistbox
  4     toolbar
  3     stringbundle
  3     popupset
  3     radio
  3     browser
  3     notificationbox
  2     script
  2     broadcasterset
  2     keyset
  2     scrollbar
  2     progressmeter
  2     toolbarspring
  1     window
  1     stringbundleset
  1     tree
  1     treecols
  1     treecol
  1     treecolpicker
  1     treerows
  1     treechildren
  1     scrollcorner
  1     listbox
  1     listcols
  1     listcol
  1     listrows
  1     listboxbody
  1     menugroup
  1     radiogroup
  1     toolbox
  1     menubar
  1     tabs
  1     tab
  1     sidebarheader
  1     splitter
  1     tabbox
  1     tabpanels
  1     popupgroup
  1     notification
Elements in namespace http://www.w3.org/1999/xhtml
  52    span
  13    b
  8     input
  8     div
  3     strong
  1     textarea
  1     video
  1     ul
  1     br
  1     button
Elements in namespace null
  2     _moz_generated_content_after
  1     _moz_generated_content_before
XBL bindings
  2500  null
  972   url("chrome://global/content/bindings/text.xml#text-label")
  266   url("chrome://global/content/bindings/menu.xml#menuitem")
  154   url("chrome://global/content/bindings/scrollbox.xml#autorepeatbutton")
  98    url("chrome://global/content/bindings/toolbarbutton.xml#toolbarbutton")
  88    url("chrome://global/content/bindings/scrollbox.xml#scrollbox")
  77    url("chrome://global/content/bindings/scrollbox.xml#arrowscrollbox")
  73    url("chrome://global/content/bindings/text.xml#text-base")
  65    url("chrome://global/content/bindings/popup.xml#popup")
  55    url("chrome://global/content/bindings/button.xml#button")
  34    url("chrome://global/content/bindings/text.xml#label-control")
  31    url("chrome://global/content/bindings/menu.xml#menuitem-iconic")
  20    url("chrome://global/content/bindings/menu.xml#menu")
  19    url("chrome://global/content/bindings/checkbox.xml#checkbox")
  18    url("chrome://global/content/bindings/popup.xml#arrowpanel")
  18    url("chrome://global/content/bindings/text.xml#text-link")
  16    url("chrome://global/content/bindings/button.xml#menu")
  12    url("chrome://global/content/bindings/notification.xml#popup-notification")
  9     url("chrome://global/content/bindings/textbox.xml#input-box")
  9     url("chrome://browser/content/places/menu.xml#places-popup-base")
  8     url("chrome://global/content/bindings/popup.xml#tooltip")
  8     url("chrome://global/content/platformHTMLBindings.xml#inputFields")
  7     url("chrome://global/content/bindings/menu.xml#menu-menubar")
  6     url("chrome://global/content/bindings/textbox.xml#textbox")
  5     url("chrome://global/content/bindings/popup.xml#popup-scrollbars")
  5     url("chrome://global/content/bindings/toolbarbutton.xml#menu")
  4     url("chrome://global/content/bindings/menulist.xml#menulist")
  4     url("chrome://global/content/bindings/menu.xml#menu-iconic")
  3     url("chrome://global/content/bindings/autocomplete.xml#autocomplete-richlistbox")
  3     url("chrome://global/content/bindings/popup.xml#panel")
  3     url("chrome://global/content/bindings/radio.xml#radio")
  3     url("chrome://browser/content/customizableui/toolbar.xml#toolbar")
  3     url("chrome://browser/content/tabbrowser.xml#tabbrowser-alltabs-popup")
  3     url("chrome://global/content/bindings/notification.xml#notificationbox")
  2     url("chrome://browser/content/search/search.xml#search-one-offs")
  2     url("chrome://global/content/bindings/general.xml#empty")
  2     url("chrome://global/content/bindings/progressmeter.xml#progressmeter")
  2     url("chrome://global/content/bindings/toolbarbutton.xml#toolbarbutton-badged")
